GMR9F09-,41329
GMR10G12,45006
GMR14B12,45394
GMR23B03,45484
GMR93H09,47241
GMR11H07,47318
GMR11D01,47452
GMR11D08,47453
GMR12B03,47456
GMR67D05,47714
GMR10E08,47842
GMR15C03,47865
GMR16A04,47869
GMR9B09-,48020
GMR10B02,48240
GMR10B10,48246
GMR10B11,48247
GMR10C05,48250
GMR10C06,48251
GMR10H04,48275
GMR10H05,48276
GMR11A01,48279
GMR10C01,48436
GMR10E07,48440
GMR10F08,48441
GMR10F10,48442
GMR10H10,48445
GMR11B07,48447
GMR11D02,48452
GMR11D07,48455
GMR11F03,48464
GMR11F04,48465
GMR11G01,48469
GMR11G09,48474
GMR11H11,48480
GMR12B01,48487
GMR12C04,48494
GMR12C11,48497
GMR12D10,48504
GMR12D12,48506
GMR12G04,48523
GMR12G09,48525
GMR12H12,48534
GMR13A04,48537
GMR13B01,48541
GMR13B10,48548
GMR13C11,48556
GMR13D05,48560
GMR13E04,48565
GMR13E06,48566
GMR13E12,48569
GMR13F02,48571
GMR13F07,48575
GMR13F09,48577
GMR13F11,48579
GMR13G12,48587
GMR13H03,48588
GMR14A11,48595
GMR14B01,48597
GMR14C03,48602
GMR14C07,48605
GMR14C08,48606
GMR14E12,48647
GMR14G08,48661
GMR14H02,48664
GMR14H06,48667
GMR15A04,48671
GMR15A05,48672
GMR15B01,48675
GMR15B05,48676
GMR15C01,48682
GMR15C05,48683
GMR15C11,48684
GMR15D08,48687
GMR15D10,48689
GMR15G08,48702
GMR15H10,48706
GMR16A07,48710
GMR16C03,48716
GMR16C09,48720
GMR16E03,48727
GMR16F02,48731
GMR16F11,48738
GMR16F12,48739
GMR16H03,48744
GMR10E06,49236
GMR11C01,49240
GMR13A03,49247
GMR14B11,49255
GMR14F05,49257
GMR14G10,49258
GMR15B03,49261
GMR65C04,49411
GMR11A07,49826
GMR11E05,49827
GMR35D04,49907
GMR47C12,50300
